Code matière,Libellé,Pourcentage,Nature,C.A.S.,Commentaires
_GAMM_007,Gamma terpinene,100.000000000000000000,Matiere 1er,99-85-4,
_177T_001,"(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",100.000000000000000000,Matiere 1er,68877-29-2,
_ISOC_001,"Isocamphenyl cyclohexanol, mixed isomers",100.000000000000000000,Matiere 1er,66068-84-6,
_INDI_001,"3-(5,5,6-Trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",100.000000000000000000,Matiere 1er,3407-42-9,
_PHEN_023,"Phenol, 2-methoxy-, reaction products with 2,2-dimethyl-3-methylenebicyclo[2.2.1]heptane, hydrog",100.000000000000000000,Matiere 1er,70955-71-4,
_2MET_009,"2-Methyl-2,4-pentandiol (Hexylene glycol)",100.000000000000000000,Matiere 1er,107-41-5,
_66DI_002,"6,6-Dimethylbicyclo[3.1.1]hept-2-ene-2-propionaldehyde",100.000000000000000000,Matiere 1er,33885-51-7,
_CITR_003,"2,6-Octadienal, 3,7-dimethyl-, acid-isomerized",100.000000000000000000,Matiere 1er,90480-35-6,
_44A5_001,"4,4a,5,9b-Tetrahydroindeno[1,2-d]-1,3-dioxine",100.000000000000000000,Matiere 1er,18096-62-3,
_PMET_002,p-Methylanisole,100.000000000000000000,Matiere 1er,104-93-8,
_PCRE_005,p-Methylanisole,100.000000000000000000,Matiere 1er,104-93-8,
_HYDR_002,2-Phenylpropionaldehyde,100.000000000000000000,Matiere 1er,93-53-8,
_METH_034N,Eugenyl methyl ether (nat),100.000000000000000000,Matiere 1er,93-15-2,
_METH_034,Eugenyl methyl ether,100.000000000000000000,Matiere 1er,93-15-2,
_ESTR_001S,Estragole,100.000000000000000000,Matiere 1er,140-67-0,
_ESTR_001,Estragole (nat),100.000000000000000000,Matiere 1er,140-67-0,
ESTR_001S,Estragole,100.000000000000000000,Matiere 1er,140-67-0,
_2SCI_001,Rose oxide levo,100.000000000000000000,Matiere 1er,16409-43-1,
_ALPH_017,"alpha-Methyl-1,3-benzodioxole-5-propionaldehyde = helional",100.000000000000000000,Matiere 1er,1205-17-0,REP2
_PCYM_001,p-Cymene,100.000000000000000000,Matiere 1er,99-87-6,
